1,なし,なし,3,優勝は確実なのだ！さらにコインも10枚GETなのだ！
1,キノコ,キノコ,3,3周目も余裕なのだ、でも無茶はダメなのだ！
1,キノコ,キラー,3,さあ、この『キノコ』で1位キープ！でも気をつけて！後ろから『キラー』が迫っているのだ！
1,キノコ,クラクション,3,キノコ持って1位キープ！でも何か足りないのだ？
1,キノコ,ゲッソー,3,キノコで1位奪取の、ボクなのだ！でも裏アイテムにご用心なのだ？
1,キノコ,コイン,3,キノコは使っても残すのだ！コインも集めてポイント稼ぎなのだ！
1,キノコ,サンダー,3,キノコとサンダーで無双中ののんびりプレイヤー、ボクの勝ちなのだ！
1,キノコ,スター,3,ラッキースターのんだー！みんなスピードアップなのだ♪
1,キノコ,テレサ,3,ずんだもんってば、キノコGETなのだ！でも、裏アイテムに要注意なのだ？
1,キノコ,トゲゾーこうら,3,まだまだ全力で突っ走るのだ！ダメージはしたくないのだ！
1,キノコ,トリプルキノコ,3,ずんだもん、最後の加速ののだ！勝利するのだ！
1,キノコ,トリプルバナナ,3,今は道が開けているけど、危険なバナナの皮との攻防戦が待っているのだ！
1,キノコ,トリプル緑甲羅,3,ボクは1位なのだ！でも、トリプル緑甲羅で追いかけてきてよ〜！？
1,キノコ,トリプル赤甲羅,3,トリプル赤甲羅の出番なのだ！幸せオーラ全開で行くのだ！
1,キノコ,バナナ,3,ボクの左右からは鮮やかなドリフト！キノコで加速し、バナナで仕留めるのだ！
1,キノコ,パックン,3,ボクだって1位になれないわけじゃないのだ！キノコで突き抜けるのだー！
1,キノコ,ファイアフラワー,3,スピードさえあれば大丈夫！今持ってるアイテムも使いこなして、1位キープなのだ？
1,キノコ,ブーメラン,3,ドキドキのラストラップなのだ！勝者はボクなのだ！
1,キノコ,ホムへい,3,3周目なのだ！キノコでスピードアップ、ホムへいは裏切り者なのかなのだ？
1,キノコ,ミラクル8,3,ボクもう勝っちゃうなのだ！キノコもミラクル8も使っちゃうのだ！
